label,level,dim,sealed,a2,a3,a5,a7,a11,a13,a17,a19,a23,a29,a31,a37,a41,a43,a47,a53,a59,a61,a67,a71,a73,a79,a83,a89,a97
578.2.a.g,578,3,0,3,-3,-6,-3,-6,-12,0,-6,3,-3,0,-6,-9,-9,6,3,3,-3,-6,27,-12,6,-3,-6,-39
578.2.a.h,578,3,0,3,3,6,3,6,-12,0,-6,-3,3,0,6,9,-9,6,3,3,3,-6,-27,12,-6,-3,-6,39
578.2.a.i,578,4,0,-4,0,0,0,0,8,0,8,0,0,0,0,0,24,16,8,8,0,24,0,0,0,8,-32,0
579.2.a.a,579,1,0,-1,1,0,0,-6,-6,4,0,0,0,0,-10,0,-4,-6,4,0,-10,4,14,-2,0,-4,4,-2
579.2.a.b,579,1,0,2,-1,2,1,-1,6,7,-6,4,-5,0,10,-6,1,-9,1,8,-10,-15,-13,14,-6,10,-5,-19
579.2.a.c,579,2,0,-2,-2,-4,4,0,4,-4,0,-8,-4,-4,-12,-4,4,-8,-12,-8,-4,-8,-8,4,8,8,-20,0
579.2.a.d,579,3,0,0,-3,-4,3,-9,-5,0,-3,0,-13,5,5,-7,-8,12,-14,-6,-6,9,-4,12,3,-22,13,10
579.2.a.e,579,3,0,0,3,-6,-9,3,-3,0,-9,0,-15,-15,-9,3,0,18,-12,6,-6,-15,-18,12,-15,12,-21,-6
579.2.a.f,579,10,0,2,-10,8,-10,10,-1,1,1,4,38,-15,9,23,-13,37,29,10,12,0,37,-22,-1,-16,36,-7
579.2.a.g,579,13,0,2,13,6,15,3,11,-2,9,-8,5,25,29,-11,8,-12,14,10,6,25,0,8,7,-28,7,26
580.2.a.a,580,1,0,0,0,-1,0,-2,-2,0,-2,-8,1,2,-4,-10,4,12,-6,-12,-10,12,12,12,2,-4,-10,8
580.2.a.b,580,1,0,0,0,1,-2,-4,-6,-4,4,6,-1,0,-8,-2,4,-4,-2,8,10,-10,-8,0,8,-6,6,-12
580.2.a.c,580,3,0,0,2,-3,-4,8,-2,2,8,0,-3,4,-10,10,14,-10,10,8,-22,-12,-8,-2,0,12,18,-38
580.2.a.d,580,3,0,0,2,3,2,2,2,10,2,-2,3,-2,14,2,-10,6,6,4,-10,-2,-4,2,-30,-14,2,6
581.2.a.a,581,7,0,-2,-3,-1,-7,-9,2,3,-19,-3,-6,-13,-17,-6,-21,8,-13,8,-7,-37,-12,10,-63,-7,14,17
581.2.a.b,581,7,0,0,-7,-5,7,-9,-18,-3,-29,1,-6,-21,-5,6,-11,16,11,-10,-21,-13,12,-2,-7,7,12,-3
